"Date","Aluminium Price","Copper Price","BADI -2","MJP","USD Index","AL Prod (Global)","AL Cons (Global)","Aluminium stocks","Alumina Index","Oil Prices"
"2015-05-01","1804.0394736842","6294.7763157895","575.9545454545","380.0","95.2371428571","4836.357865","4943.9112337708","14004.7151492369","341.2993333333","66.0"
"2015-06-01","1687.7272727273","5833.0113636364","591.35","380.0","95.1685909091","4689.444423","4894.5111856901","13799.6483865468","328.3878333333","64.0"
"2015-07-01","1639.5","5456.75","597.0","100.0","96.9252608696","4856.526208","4950.5019438879","13705.6726506589","311.1423333333","57.0"
"2015-08-01","1548.125","5127.3","699.0454545455","100.0","96.3880952381","4865.749706","4805.0170050539","13766.4053516049","292.528","48.0"
"2015-09-01","1589.6022727273","5217.25","975.347826087","100.0","95.8145909091","4690.242221","4679.7638801407","13776.8836924643","272.6941666667","49.0"
"2015-10-01","1516.4886363636","5216.0909090909","1065.55","90.0","95.7183636364","4861.897137","4902.4489729562","13736.3318565081","257.892","49.0"
"2015-11-01","1467.8928571429","4799.9047619048","888.6818181818","90.0","99.0695714286","4715.02257","4699.2695173082","13752.0849092","237.3975","46.0"
"2015-12-01","1497.2023809524","4638.8333333333","793.0","90.0","98.3293636364","4852.709852","4741.6250960283","13863.1696651717","205.9246666667","39.0"
"2016-01-01","1481.1","4471.7875","582.2380952381","110.0","99.0148","4792.229582","4769.5160502977","13885.8831968739","199.9783333333","32.0"
"2016-02-01","1531.2619047619","4598.619047619","519.1666666667","110.0","97.0407619048","4498.15671","4291.095851316","14092.944055558","215.3321666667","34.0"
"2016-03-01","1531.0119047619","4953.7976190476","386.3","110.0","96.2652727273","4825.557753","4873.1853058032","14045.3165027548","244.6031666667","40.0"
"2016-04-01","1571.2261904762","4872.7380952381","306.9047619048","116.0","94.4036190476","4708.241581","5030.4523945163","13723.1056892384","253.9176666667","43.0"
"2016-05-01","1550.625","4694.5375","383.3333333333","116.0","94.5679090909","4925.383689","5224.2254578336","13424.2639204048","258.9063333333","48.0"
"2016-06-01","1593.5068181818","4641.9659090909","607.4761904762","116.0","94.6631363636","4812.714573","5265.3074860145","12971.6710073902","244.8223333333","50.0"
"2016-07-01","1629.0476190476","4864.9047619048","619.9","91.5","96.5280952381","5008.485779","5166.1204065777","12814.0363798125","239.9203333333","47.0"
"2016-08-01","1639.2840909091","4751.6704545455","607.8636363636","91.5","95.3803913043","5046.39293","5050.9764917381","12809.4528180744","234.1136666667","47.0"
"2016-09-01","1592.3636363636","4721.4772727273","707.4285714286","91.5","95.4790909091","4928.735149","5035.2548239017","12702.9331431727","234.854","47.0"
"2016-10-01","1665.9047619048","4731.2619047619","672.9090909091","75.0","97.7144761905","5154.494997","5135.5424882375","12721.8856519352","267.682","51.0"
"2016-11-01","1737.1136363636","5450.9318181818","827.7727272727","75.0","99.7681818182","5039.423724","5022.1291683093","12739.1802076259","308.095","47.0"
"2016-12-01","1727.7375","5660.35","868.4761904762","75.0","102.0413636364","5245.821543","4990.267394511","12994.7343561149","342.5436666667","55.0"
"2017-01-01","1791.2380952381","5754.5595238095","1071.8181818182","95.0","101.2023636364","5324.898829","5140.9781323881","13178.6550527268","342.4233333333","55.0"
"2017-02-01","1860.75","5940.9125","1049.5294117647","95.0","100.6953","4875.982139","4569.7312150546","13484.9059766722","341.6483333333","56.0"
"2017-03-01","1901.4673913043","5824.6304347826","907.1428571429","95.0","100.7596956522","5445.784515","5257.3933379769","13673.2971536953","335.218","53.0"
"2017-04-01","1921.2222222222","5683.9027777778","759.45","128.0","100.0725","5265.836317","5315.6152441808","13623.5182265145","308.038","54.0"
"2017-05-01","1913.0238095238","5599.5595238095","1141.3913043478","128.0","98.2386086957","5472.578302","5658.4783043779","13437.6182241366","275.3776666667","51.0"
"2017-06-01","1885.2863636364","5719.7613636364","1221.8333333333","128.0","96.9430454545","5320.823452","5520.4782685501","13237.9634075865","303.4203333333","48.0"
"2017-07-01","1902.9642857143","5985.119047619","973.1428571429","118.5","94.9158571429","5532.396125","5437.1478769707","13333.2116556158","307.2103333333","49.0"
"2017-08-01","2030.0113636364","6485.625","860.2272727273","118.5","93.1752173913","5377.433011","5287.2416202991","13423.4030463167","315.9366666667","52.0"
"2017-09-01","2096.4880952381","6577.1666666667","906.0476190476","118.5","92.3402380952","5140.00872","5210.0983129812","13353.3134533355","388.4966666667","56.0"
"2017-10-01","2131.4886363636","6807.6022727273","1141.7727272727","94.5","93.7082272727","5336.715349","5468.0897510047","13221.9390513308","467.0683333333","58.0"
"2017-11-01","2097.4409090909","6826.5454545455","1363.5238095238","94.5","93.9625","5144.19891","5257.133588312","13109.0043730187","461.5813333333","63.0"
"2017-12-01","2080.4736842105","6833.8947368421","1484.2272727273","94.5","93.3811428571","5338.87754","5241.1053466377","13206.776566381","407.2866666667","64.0"
